0,1.2,2.8
1,1.4,3.2
2,1.8,3.2
3,2.2,3.4
4,2.2,3.8
5,2.4,4.2
6,2.8,4.2
7,3.2,4.4
8,3.2,4.8
9,3.4,5.2
10,3.8,5.2
11,4.2,5.4
12,4.2,5.8
13,4.4,6.2
14,4.8,6.2
15,5.2,6.4
16,5.2,6.8
17,5.4,7.2
18,5.8,7.2
19,6.2,7.4
20,6.2,7.8
21,6.4,8.2
22,6.8,8.2
23,7.2,8.4
24,7.2,8.8
25,7.4,9.2
26,7.8,9.2
27,8.2,9.4
28,8.2,9.8
29,8.4,10.2
30,8.8,10.2
31,9.2,10.4
32,9.2,10.8
33,9.4,11.2
34,9.8,11.2
35,10.2,11.4
36,10.2,11.8
37,10.4,12.2
38,10.8,12.2
39,11.2,12.4
40,11.2,12.8
41,11.4,13.2
42,11.8,13.2
43,12.2,13.4
44,12.2,13.8
45,12.4,14.2
46,12.8,14.2
47,13.2,14.4
48,13.2,14.8
49,13.4,15.2
50,13.8,15.2
51,14.2,15.4
52,14.2,15.8
53,14.4,16.2
54,14.8,16.2
55,15.2,16.4
56,15.2,16.8
57,15.4,17.2
58,15.8,17.2
59,16.2,17.4
60,16.2,17.8
61,16.4,18.2
62,16.8,18.2
63,17.2,18.4
64,17.2,18.8
65,17.4,19.2
66,17.8,19.2
67,18.2,19.4
68,18.2,19.8
69,18.4,20.2
70,18.8,20.2
71,19.2,20.4
72,19.2,20.8
73,19.4,21.2
74,19.8,21.2
75,20.2,21.4
76,20.2,21.8
77,20.4,22.2
78,20.8,22.2
79,21.2,22.4
80,21.2,22.8
81,21.4,23.2
82,21.8,23.2
83,22.2,23.4
84,22.2,23.8
85,22.4,24.2
86,22.8,24.2
87,23.2,24.4
88,23.2,24.8
89,23.4,25.2
90,23.8,25.2
91,24.2,25.4
92,24.2,25.8
93,24.4,26.2
94,24.8,26.2
95,25.2,26.4
96,25.2,26.8
97,25.4,27.2
98,25.8,27.2
99,26.2,27.4
100,26.2,27.8
101,26.4,28.2
102,26.8,28.2
103,27.2,28.4
104,27.2,28.8
105,27.4,29.2
106,27.8,29.2
107,28.2,29.4
108,28.2,29.8
109,28.4,30.2
110,28.8,30.2
111,29.2,30.4
112,29.2,30.8
113,29.4,31.2
114,29.8,31.2
115,30.2,31.4
116,30.2,31.8
117,30.4,32.2
118,30.8,32.2
119,31.2,32.4
120,31.2,32.8
121,31.4,33.2
122,31.8,33.2
123,32.2,33.4
124,32.2,33.8
125,32.4,34.2
126,32.8,34.2
127,33.2,34.4
128,33.2,34.8
129,33.4,35.2
130,33.8,35.2
131,34.2,35.4
132,34.2,35.8
133,34.4,36.2
134,34.8,36.2
135,35.2,36.4
136,35.2,36.8
137,35.4,37.2
138,35.8,37.2
139,36.2,37.4
140,36.2,37.8
141,36.4,38.2
142,36.8,38.2
143,37.2,38.4
144,37.2,38.8
145,37.4,39.2
146,37.8,39.2
147,38.2,39.4
148,38.2,39.8
149,38.4,40.2
150,38.8,40.2
151,39.2,40.4
152,39.2,40.8
153,39.4,41.2
154,39.8,41.2
155,40.2,41.4
156,40.2,41.8
157,40.4,42.2
158,40.8,42.2
159,41.2,42.4
160,41.2,42.8
161,41.4,43.2
162,41.8,43.2
163,42.2,43.4
164,42.2,43.8
165,42.4,44.2
166,42.8,44.2
167,43.2,44.4
168,43.2,44.8
169,43.4,45.2
170,43.8,45.2
171,44.2,45.4
172,44.2,45.8
173,44.4,46.2
174,44.8,46.2
175,45.2,46.4
176,45.2,46.8
177,45.4,47.2
178,45.8,47.2
179,46.2,47.4
180,46.2,47.8
181,46.4,48.2
182,46.8,48.2
183,47.2,48.4
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0.8,2.2
199,1.2,2.4
200,1.2,2.8
201,1.4,3.2
202,1.8,3.2
203,2.2,3.4
204,2.2,3.8
205,2.4,4.2
206,2.8,4.2
207,3.2,4.4
208,3.2,4.8
209,3.4,5.2
210,3.8,5.2
211,4.2,5.4
212,4.2,5.8
213,4.4,6.2
214,4.8,6.2
215,5.2,6.4
216,5.2,6.8
217,5.4,7.2
218,5.8,7.2
219,6.2,7.4
220,6.2,7.8
221,6.4,8.2
222,6.8,8.2
223,7.2,8.4
224,7.2,8.8
225,7.4,9.2
226,7.8,9.2
227,8.2,9.4
228,8.2,9.8
229,8.4,10.2
230,8.8,10.2
231,9.2,10.4
232,9.2,10.8
233,9.4,11.2
234,9.8,11.2
235,10.2,11.4
236,10.2,11.8
237,10.4,12.2
238,10.8,12.2
239,11.2,12.4
240,11.2,12.8
241,11.4,13.2
242,11.8,13.2
243,12.2,13.4
244,12.2,13.8
245,12.4,14.2
246,12.8,14.2
247,13.2,14.4
248,13.2,14.8
249,13.4,15.2
250,13.8,15.2
251,14.2,15.4
252,14.2,15.8
253,14.4,16.2
254,14.8,16.2
255,15.2,16.4
256,15.2,16.8
257,15.4,17.2
258,15.8,17.2
259,16.2,17.4
260,16.2,17.8
261,16.4,18.2
262,16.8,18.2
263,17.2,18.4
264,17.2,18.8
265,17.4,19.2
266,17.8,19.2
267,18.2,19.4
268,18.2,19.8
269,18.4,20.2
270,18.8,20.2
271,19.2,20.4
272,19.2,20.8
273,19.4,21.2
274,19.8,21.2
275,20.2,21.4
276,20.2,21.8
277,20.4,22.2
278,20.8,22.2
279,21.2,22.4
280,21.2,22.8
281,21.4,23.2
282,21.8,23.2
283,22.2,23.4
284,22.2,23.8
